Number,Title,Source,URL,Date
84,Written by Whitten | Innovative Virtual Reality Solutions Developed at KSU,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/innovative-virtual-reality-solutions-developed-at-ksu.php,"March 10, 2020"
85,Kennesaw State's Executive MBA is No. 1 in Georgia for fourth straight year,No Source,https://news.kennesaw.edu/stories/2020/emba-ranking-ceo-magazine.php,"March 09, 2020"
86,Mathematics education professor receives USG Hall of Fame Faculty Award,No Source,https://news.kennesaw.edu/stories/2020/usg-hall-of-fame-faculty-award.php,"March 05, 2020"
87,Written by Whitten | Update on Coronavirus,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/update-on-coronavirus.php,"March 03, 2020"
88,University College podcast focuses on First-Year Program,No Source,https://news.kennesaw.edu/stories/2020/uc-podcast-first-year-program.php,"March 02, 2020"
89,Prospective transfer students invited to Kennesaw State University campus,No Source,https://news.kennesaw.edu/stories/2020/transfer-information-session-march-2020.php,"February 28, 2020"
90,Renowned cellular biology researcher named dean for College of Science and Mathematics,No Source,https://news.kennesaw.edu/stories/2020/new-science-math-dean.php,"February 27, 2020"
91,Kennesaw State breaks ground on Academic Learning Center,No Source,https://news.kennesaw.edu/stories/2020/academic-learning-center-groundbreaking.php,"February 26, 2020"
92,Kennesaw State students present research at Posters at the Georgia State Capitol,No Source,https://news.kennesaw.edu/stories/2020/posters-at-georgia-capitol.php,"February 26, 2020"
93,Written by Whitten | New building will put students first,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/new-building-will-put-students-first.php,"February 25, 2020"
94,Kennesaw State students recognized for academic achievements,No Source,https://news.kennesaw.edu/stories/2020/academic-achievement-lists-fall-2019.php,"February 24, 2020"
95,Kennesaw State Academic Learning Center groundbreaking set for February 26,No Source,https://news.kennesaw.edu/stories/2020/academic-learning-center-media-advisory.php,"February 21, 2020"
96,Survey finds construction companies struggle to attract and retain qualified employees,No Source,https://news.kennesaw.edu/stories/2020/construction-outlook-survey.php,"February 20, 2020"
97,Written by Whitten | Nursing program will double with nearly $9 million gift from Wellstar,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/nursing-program-will-double-with-nearly-nine-million-gift-from-wellstar.php,"February 18, 2020"
98,WellStar Health System contributes nearly $9 million to expand KSU nursing program,No Source,https://news.kennesaw.edu/stories/2020/wellstar-health-services-gift-ksu-nursing.php,"February 14, 2020"
